(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlbewerberinnen und Wahlbewerber für die Wahl zum 9. Europäischen Parlament (26. Mai 2019) aus der Bundesrepublik Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand:;12.04.2019;08:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Titel;Namenszusatz;Nachname;Vorname;Geschlecht;Geburtjahr;PLZ;Wohnort;WohnortLandAbk;Geburtsort;Staatsangehörigkeit;Beruf;Berufsschluessel;Kennzeichen;Gebietsart;Gebietsnummer;Gebietsname;GebietLandAbk;Gruppenname;GruppennameLang;Listenplatz;VerknKennzeichen;VerknGebietsart;VerknGebietsnummer;VerknGebietsname;VerknGebietLandAbk;VerknGruppenname;VerknListenplatz;VorpGewaehlt
EP;26.05.2019;;;Batur;Zübeyir;m;1968;28719;Bremen;HB;Karacasu, Türkei;DE;Architekt;31;Bewerber;Bund;99;Bundesgebiet;Bund;BIG;Bündnis für Innovation & Gerechtigkeit;23;;;;;;;;
EP;26.05.2019;;;Bauer;Anna Sophia;w;1989;10243;Berlin;BE;Landshut;DE;Produktmarketing Manager;92;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;104;;;;;;;;
EP;26.05.2019;;;Baumann;Ruth Barbara;w;1966;79104;Freiburg im Breisgau;BW;Offenburg;DE;Prokuristin;71;Bewerber;Land;08;Baden-Württemberg;BW;CDU;Christlich Demokratische Union Deutschlands;8;;;;;;;;
EP;26.05.2019;;;Baumeister;Sven;m;1987;94360;Mitterfels;BY;Straubing;DE;Lehrer;84;Bewerber;Bund;99;Bundesgebiet;Bund;FREIE WÄHLER;FREIE WÄHLER;11;;;;;;;;
EP;26.05.2019;;;Bayer;Jörg-Peter Thomas;m;1962;34128;Kassel;HE;Gudensberg;DE;freier Journalist;92;Bewerber;Bund;99;Bundesgebiet;Bund;NL;Neue Liberale – Die Sozialliberalen;6;;;;;;;;
EP;26.05.2019;;;Bayer;Melody;w;1987;93047;Regensburg;BY;Lüneburg;DE;Schauspielerin;94;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;43;;;;;;;;
EP;26.05.2019;;;Bechtold;Gina Birgit;w;1981;72458;Albstadt;BW;Bocholt;DE;Dipl.-Wirtschaftsjuristin (FH);73;Bewerber;Bund;99;Bundesgebiet;Bund;PARTEI FÜR DIE TIERE;PARTEI FÜR DIE TIERE DEUTSCHLAND;1;;;;;;;;
EP;26.05.2019;;;Beck;Daniel Andreas;m;1995;85356;Freising;BY;München;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;FREIE WÄHLER;FREIE WÄHLER;22;;;;;;;;
EP;26.05.2019;Prof. Dr.;;Beck;Gunnar Günter;m;1963;41469;Neuss;NW;Düsseldorf;DE;Hochschuldozent, Barrister-at-Law für EU-Recht;84;Bewerber;Bund;99;Bundesgebiet;Bund;AfD;Alternative für Deutschland;10;;;;;;;;
EP;26.05.2019;;;Becker;Agnes;w;1980;94110;Wegscheid;BY;Augsburg;DE;Tierärztin;81;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;11;;;;;;;;
EP;26.05.2019;Dr.;;Becker;Alexander;m;1972;76470;Ötigheim;BW;Karlsruhe;DE;Musikwissenschaftler;94;Ersatzbewerber;Land;08;Baden-Württemberg;BW;CDU;Christlich Demokratische Union Deutschlands;2;;;;;;;;
EP;26.05.2019;;;Becker;Dorothea Maria Johanna;w;1965;01099;Dresden;SN;Neuburg a.d.Donau;DE;Architektin;92;Bewerber;Bund;99;Bundesgebiet;Bund;ÖkoLinX;Ökologische Linke;2;;;;;;;;
EP;26.05.2019;;;Becker;Harald;m;1964;78549;Spaichingen;BW;Spaichingen;DE;Koch;29;Bewerber;Bund;99;Bundesgebiet;Bund;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;6;Ersatzbewerber;Bund;99;Bundesgebiet;;Tierschutzallianz;3;
EP;26.05.2019;;;Becker;Rainer;m;1968;86633;Neuburg a.d.Donau;BY;Kempten;DE;Hausmeister;34;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;167;;;;;;;;
EP;26.05.2019;;;Beer;Alexander;m;1979;35767;Breitscheid;HE;Lahn-Wetzlar;DE;Beamter;73;Bewerber;Land;06;Hessen;HE;CDU;Christlich Demokratische Union Deutschlands;12;;;;;;;;
EP;26.05.2019;;;Beer;Nicola;w;1970;60435;Frankfurt am Main;HE;Wiesbaden;DE;Rechtsanwältin;73;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;1;;;;;;;;
EP;26.05.2019;;;Behalal;Jean Marc;m;1962;44625;Herne;NW;Duala, Kamerun;DE;Jurist, Webjournalist;73;Bewerber;Bund;99;Bundesgebiet;Bund;BIG;Bündnis für Innovation & Gerechtigkeit;24;;;;;;;;
EP;26.05.2019;;;Behrendt;Tim Philip;m;1985;59519;Möhnesee;NW;Witten;DE;Ingenieur;27;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;71;;;;;;;;
EP;26.05.2019;;;Behrendt;Volker;m;1967;21029;Hamburg;HH;Hamburg-Bergedorf;DE;Dipl.-Finanzwirt;73;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;6;;;;;;;;
EP;26.05.2019;;;Beißwänger;Inga Martina;w;1979;51379;Leverkusen;NW;Filderstadt;DE;Texterin, PR-Managerin;92;Bewerber;Bund;99;Bundesgebiet;Bund;BGE;Bündnis Grundeinkommen - Die Grundeinkommenspartei;6;;;;;;;;
EP;26.05.2019;;;Below;Simona;w;1959;39218;Schönebeck (Elbe);ST;Calbe (Saale);DE;Bürokauffrau;71;Bewerber;Bund;99;Bundesgebiet;Bund;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;4;;;;;;;;
EP;26.05.2019;;;Bender;Julian;m;1992;57482;Wenden;NW;Olpe;DE;Zerspanungsmechaniker;24;Bewerber;Bund;99;Bundesgebiet;Bund;III. Weg;DER DRITTE WEG;5;;;;;;;;
